0,1,2
62,62,62
62,62,62
63,62,62
64,63,63
65,64,64
66,65,65
68,66,66
69,67,67
70,68,68
71,69,69
72,70,70
72,70,70
73,71,71
74,72,72
74,72,72
74,72,72
75,72,72
76,72,72
77,73,73
77,73,73
78,74,74
77,74,74
77,74,74
77,74,74
78,75,75
79,76,76
78,76,76
79,77,77
79,77,77
80,78,78
81,79,79
81,79,79
82,80,80
82,80,80
83,81,81
84,82,82
85,83,83
86,84,84
87,85,85
88,86,86
89,86,86
89,86,86
89,87,86
90,88,87
90,88,87
90,90,87
90,88,88
91,89,89
